,Reviews,#GENERAL,#FEATURE,#PRICE,#CAMERA,#DESIGN#SCREEN
0,No fingerprint screen sensor is present,False,True,False,False,False
1,Ugliest phone from apple i ever seen good job apple.,False,False,False,False,True
2,Dont forget to add 1000 eur price.,False,False,True,False,False
3,Expected lot more from this phone but apple is every year the same with minimum differences. I am glad i am not an apple user any more.,False,True,False,False,False
4,"Useless phone, unless you only need a camera.",True,False,False,False,False
5,The ugliest iphone design. Period.,False,False,False,False,True
6,For the first time apple is not winning in the looks department,False,False,False,False,True
7,"Hahahahahahahahaha 1000 Euros phone without Fast Charging, good luck then",False,True,True,False,False
8,Only facial recognition ID? screw that.. No way am i passing out drunk at a party and people just.. Whoop.. hold up ma phone,False,True,False,False,False
9,"facial recognition sucks. in the demo, the guy flopped doing it",False,True,False,False,False
10,I am still happy with iPhone 6s Plus I am disappointed with the this years launch as well I don't think there is any changes in the iOS 11 as well,False,True,False,False,False
11,"So the iPhone X looks exactly as the leaks, which is unfortunate. It shares the title of ugliest phone on the market with the iPhone 8.",False,False,False,False,True
12,Amazing super design,False,False,False,False,True
13,this phone looks awesome i dont care what anybody wanna say great job apple,True,False,False,False,True
14,"thanks, apple. this year apple really has done a good job",True,False,False,False,False
15,this year I'm gonna buy this beast. really good job,True,False,False,False,False
16,"lol, they call it bezel less, yet note 8 and s8 plus have better screen-to-body ratio. and those side bezels are just ugly",False,False,False,False,True
17,"In my iPhone 6 when I double tap the home button, it brings the screen down so I can reach the area in the upper part with one hand. I think this feature is missing in iPhone X. This is so bad specially it has a bigger screen now and working with one hand with it will be impossible without this feature. If they can make it done by double tap the lock button or squeeze the phone sides it will be great. Hope so.",False,True,False,False,False
18,Am i the only one who actually sees the bezels? They are Huge af!!! and no fingerprint under screen? yeah sure i give AROUND 1150euro for this! 10x apple... sucked even more!,False,True,True,False,True
19,So much talking and nothing new... Bye Apple.,False,True,False,False,False
20,This the best smartphone ever with the best and most secure iOS,True,True,False,False,False
21,Look at that ugly camera ; looks like traffic lights . The ugliest phone ever . Gzzz,False,False,False,True,True
22,When i first saw the look i just thought it was fan made but when i actually found out it was official i was so disappointed. I'm against the bezel less phones especially when they come out looking as bad as this,False,False,False,False,True
23,That is the ugliest phone ever made.,False,False,False,False,True
24,No fingerprint in screen? Sad,False,True,False,False,False
25,"With the most outrageous price ever. If you guys will still buy this phone at over $1,000 then you guys really have your life priorities messed up.",False,False,True,False,False
26,"to my eyes, this iphone is looking not as good as many androids out there. the only thing that keeps this phone from android is the software experience",False,True,False,False,True
27,i love this phone,True,False,False,False,False
28,Although I'm die hard android I will say I think they have done a good job with the X,True,False,False,False,False
29,This is the most ugly phone i have ever seen.,False,False,False,False,True
30,"The phone is ugly, no one said anything about ios",False,False,False,False,True
31,Looks like a cheap phone from china,False,False,False,False,True
32,awesome,True,False,False,False,False
33,I like how they made something that already exists on the market and improved it something unique with their knowledge and also how they simplify the process..My only concern is that it doesn't come out in black,True,True,False,False,False
34,Well said and honest,True,False,False,False,False
35,Grapes are sure! my friend; this is the best phone in the world ever.,True,False,False,False,False
36,That would be great,True,False,False,False,False
37,AWESOME! simply great. Great work.,True,False,False,False,False
38,I'm not iPhone user or a fan.. iOS is very smooth and doesn't need much ram like android. It is well optimized. But apple could give more but they want to cut the cost everywhere and charge the most to take it the profit in large margin,False,True,True,False,False
39,Realy back side camera to much ugly,False,False,False,False,True
40,"one word for now, ""ugly""",False,False,False,False,True
41,The not so essential phone. Horrible design. Nothing works in the looks department. From the proportions to the way the edges and screen blend into each other to the odd camera protrusion.,False,False,False,False,True
42,no fingerprint waste of money,False,True,False,False,False
43,"I don't usually like iPhones, but this X changed my mind. At least only for this X. Thumbs up",True,False,False,False,False
44,"No finger print scanner, they claim that the new facial recognition is the the best option to go with",False,True,False,False,False
45,no finger print scanner,False,True,False,False,False
46,hmm it's look like a super expensive android to me with a bunch of gimmicks noting new ooh there is facial recognition to it but sadly it failed at presentation and it supports wireless charging hmm also fast charging i think it should have it coz we all know.,False,True,False,False,False
47,One of the best of best phone it will be every thing that we whant now,True,False,False,False,False
48,Super sharp oled display,False,False,False,False,True
49,bezels less desgin,False,False,False,False,True
50,higher price 64GB $999,False,False,False,False,True
51,cameras are excellent,False,False,False,True,False
52,wirless charging,False,True,False,False,False
53,4K at 60fps,False,True,False,False,False
54,"Honestly.... I have never ever really liked Apple do to the fact their phones always look the same. ( in my opinion ), But I have to admit, this phone is pretty nice!!!! And looks stunning",False,True,False,False,True
55,The new animoji feature is totally sick!!!! Just being able to custom adjust your emogi with your facial expressions is absolutely amazing!,False,True,False,False,False
56,And last but not least: I am so happy Apple finally went wireless!,False,True,False,False,False
57,Finally The Beast Revealed with well developed specs in Apple,False,True,False,False,False
58,good front design and an odd looking back camera,False,False,False,False,True
59,I love this X phone,True,False,False,False,False
60,Pretty disappointed. Nothing amazing,True,False,False,False,False
61,More innovation please. This phone does not set no future for phones. It is the same product as before. Nothing brilliantly amazing.,False,True,False,False,False
62,"Too expensive for the specs, you can find other phones at much cheaper price with higher specs. 3gb ram seriously? flagship device at only 3gb ram..still bad battery ..subpar design. Only goodthing I can say would probably the iOs software looks and performs better.",False,True,True,False,False
63,That's what i don't like in new iphone as well. I think it is a mistake done by apple designers,False,False,False,False,True
64,Everything looks pretty exciting but I hate to say that top portion the screen & fat black edges around the screen looks really ugly,True,False,False,False,True
65,Ugly design!,False,False,False,False,True
66,"5,8 inch screen ?? is it a joke ? motorolla did 6 inch screen 3 years ago. the top of the screen is cut why ?",False,False,False,False,True
67,still no dual sim :(,False,True,False,False,False
68,The resolution screen is ridiculous.,False,False,False,False,True
69,Without fingerprint scanner...... Worst iphone ever,False,True,False,False,False
70,this is a great phone ever,True,False,False,False,False
71,Best phone!!! No doubt. Perhaps will break all previous selling records. Well done Apple.,True,False,False,False,False
72,"finally, best phone for all iphones(using amoled etc)!!!... iphone x has the same feature as s8..",True,True,False,False,False
73,Amazing acheivement Apple,True,False,False,False,False
74,But its true iphone is best all the way,True,False,False,False,False
75,IOS is best all the way,False,True,False,False,False
76,Best smartphone currently iphone X,True,False,False,False,False
77,"The phone looks great, design is cool but why no fingerprint sensor ?? I didn't trust Face ID Recognition because in presentation the Iphone X Face ID didn't worked and the presenter use PIN Code to unlock the phone",False,True,False,False,True
78,I really don't like that camera module design and that camera ugly bump and I didn't know how much battery will last.,False,True,False,False,True
79,"Great innovation on face recognition but screen looks weird while playing videos. Moreover, looks like overpriced.",True,False,True,False,True
80,The ugly and annoying pop out back camera lens.,False,False,False,False,True
81,The bad display cut at the top.,False,False,False,False,True
82,The black strip around the display.,False,False,False,False,True
83,Ugly Front design,False,False,False,False,True
84,Ugly Camera,False,False,False,False,True
85,I am impressed by iPhone X. But price is too damn high. Still I am looking forward to buy one.,True,False,True,False,False
86,Brilliant device this time Apple did it again. Let´s see how it behaves on the reviews,True,False,False,False,False
87,I'm skeptical about the future-proofing of this phone,True,False,False,False,False
88,"Disappointed, Nothing new in this phones",True,False,False,False,False
89,"This looks decent though, Just not enough to get me to switch",False,False,False,False,True
90,Not even in octa core. What do we expect from this,False,True,False,False,False
91,"Ugly design, the iPhone 8 is better, this one is fat and weird.",False,False,False,False,True
92,"Nothing special about this phone, as always a lot of noise and blaba. Just the name you have to pay for.",True,False,False,False,False
93,i think its a great new take on the design but i think it would have been better with at least the option of having the matte black or jet black colour,False,False,False,False,True
94,"I love the design of that thing. Its perfect size, flat screen and rounded stainless steel sides should make for a great in hands feeling and probably user experience. Would be buying one instantly if it was priced competively.",False,False,False,False,True
95,An over priced junk has arrived again The iphone X . the touch id should have be there . for this price . 1150 bucks .,False,False,True,False,False
96,Ugly screen compare 2 samsung edge series screen,False,False,False,False,True
97,no finger id. face id some low light condetion not work perfectly. bad move apple,False,True,False,False,False
98,iPhone X's gesture controls is the single most underrated feature nobody is talking about except for Michael Fisher aka Mr. Mobile. It's webOS reincarnated. Swipe up to close apps and carousel to the next ones will feel awesome!,False,True,False,False,False
99,This is INNOVATION! Super AMOLED & Wireless charging! OMG Best PHONE EVER!! I love you apple thank you so much for these breathtaking novelty. I admire such innovative company. God bless you apple. Peace,False,True,False,False,True
100,one thing that i realize in iphone is nothing but price,False,False,True,False,False
101,Love the new iPhone X,True,False,False,False,False
102,I love the classic iPhone design. More bling-bling under certain lighting conditions. The Apple logo on the back also looks much nicer with the white glass rear. You can barely recognize it on the darker one.,False,False,False,False,True
103,Very disappointed..,True,False,False,False,False
104,Great specs!,False,True,False,False,False
105,I would really love to own one soon.. :-),True,False,False,False,False
106,processor is an important in mobile phones. especially for internet and game. iPhone processor is very fast and good performance.,False,True,False,False,False
107,It's so girly... but nice design :),False,False,False,False,True
108,Huge side bezels,False,False,False,False,True
109,"Too High and costly for its cost over features. Iphone X is not worth that amount, its just costly for the hype of the brand apple iphone thats all.",False,False,True,False,False
110,The iphone x is gorgeuos,False,False,False,False,True
111,So... they finally caught up in some 2014 android features and added a bigger screen. Innovation!,False,True,False,False,False
112,no fingerprint..... hahahahaha,False,True,False,False,False
113,Its all perfect but the most disgusting part is at the top where the front cams are. Its really annoying especially when it comes to me because i have an OCD (symmetrical) i prefer the infinity display. And I think iPhone X is fragile and definitely i'm gonna freak out if I accidentally drop it. It's Costly right?,False,False,False,False,True
114,It will fail because they don't have a fingerprint scanner and face unlock is inefficient and garbage.,False,True,False,False,False
115,Maybe They aren't big innovators anymore But They still make great phones !,True,False,False,False,False
116,This is the first Apple phone that caught my interest. Now I'll be saving some money for this phone :),True,False,False,False,False
117,Only Face id just absurd.,False,True,False,False,False
118,iPhone X is the best phone in the whole universe.,True,False,False,False,False
119,"it might not that ugly when u see it in front of you..as ppl who saw it in front of them, many of them say it is beautiful",False,False,False,False,True
120,iPhone x very impressive in design and specifications. But tooo much expensive. the 256Gb one will cost more than C$1700 including tax in Canada. However i felt like there should've been a 128Gb instead of 64Gb.,False,True,True,False,True
121,can't wait for this. omg going to be a long 2 months for me.,True,False,False,False,False
122,ridiculously over priced!!!,False,False,True,False,False
123,"i like ios, and apple products, but this one is gross, its ok to pay a big price if its feature pack, but paying a big price just for a bezelless design? its gross, sorry apple, im not a sheep yet, waiting for next year again for some worthy phone to throw a $$$",False,True,True,False,False
124,Most advanced and best smartphone ever made. This is the phone of the future. Others are looking like they came out of the stone age compared to this. Face recognition is the first ever and can never be duplicated. Super Retina Display is also the most advanced screen tech ever made. Wireless charging is also the first on a smartphone.,True,True,False,False,True
125,In my country Apple products are really overpriced so this phone will be super Xpensive,False,False,True,False,False
126,"This phone looks interesting, its specs look very attractive, but it's not a device for small pockets and was never intended to be. I see there it's some kind of fashion to remove the middle button and extend the display. All right and fine, until we look at the display design, it looks like some kind of ass with those top display margins that show the status bar in the middle with the mic and camera.Again, it's expensive for what it brings.I say this especially by the display design and, of course, the 3.5 inch jack, that was never brought back.",False,True,False,True,True
127,Awesome as ever.,True,False,False,False,False
128,The phone is good. But the pricing is worst...,True,False,True,False,False
129,No Finger print sensor. No headphone jack. Eeewww.,False,True,False,False,False
130,"Well, I think that this phone its really expensive",False,False,True,False,False
131,Its not best smartphone,True,False,False,False,False
132,this is worth to buy for me. i have the money to buy every apple product. its not hard to spend my money to buy apple products.,False,False,True,False,False
133,Im still sceptical about the bezel. Hands on video shown that it is thicker than it seem. Or maybe it just the lighting. Does this really count as bezel less? The chassis is kinda fat too. Hmm. Hope they can improve the design next year. Just a little bit more. Seriously. Just a little tiny bit more improvement it can be perfect.,False,False,False,False,True
134,I think face id is not a good idea for me. Because some people are very busy not aware of using or trying to look at with your phone while working or doing,False,True,False,False,False
135,"The best thing I like about this phone is the A11 Bionic Chipset. This is going to be miles ahead of all the other chipsets in the market. Really Apple, has kept itself ahead in the race by making sure that they own every technology that goes into making their phone. ",False,True,False,False,False
136,My Dream Iphone!,True,False,False,False,False
137,"My only concern about the phone is that it looks ugly. In fact, all Apple's big phones aren't that good looking, but maybe the background of this phone makes it worse...",False,False,False,False,True
138,"Ridiculously overpriced and nothing new. except for the new built in apps which android users have been using since years. just a modified version of talking tom. $999, way tooo much for such a phone",False,False,True,False,False
139,Why apple always late. Same old stuff with huge anouncement.,False,True,False,False,False
140,Surely I will be going to buy this one. Price doesn't matter as easily available 12 months interest free installments here in Dubai on major credit cards.,True,False,False,False,False
141,This just looks super ugly.,False,False,False,False,True
142,why is everyone not happy with this phone? I love it!,True,False,False,False,False
143,"Sure, this phone isn't anything hugely special, but it's still a huge step in the right direction for Apple, which has been stagnant for years now.",True,False,False,False,False
144,"The processor is a gamble. On paper, it looks to be a huge leap on existing tech. But you're correct that it's had limited testing, can't wait to see the heat generation.",False,True,False,False,False
145,"A lot of people live the design. Personally, on the internet I think it looks nice enough, though if place it behind both the galaxy phones and the mi mix. In real life I might like it more, I didn't like how tall and thin the s8 was. Plenty of people will consider this the most beautiful phone - especially those with Samsung hate.",False,False,False,False,True
146,"Overall, I think the phone is nothing exciting, but it does compete with the best phones out there. Apples planned augmented reality future seems a bad choice to me, buy here's hoping they do something good with it. Hard to imagine anything not gimmicky, the tech has been around for ages without being useful. Hololens seems the way to go get",True,True,False,False,False
147,"Man design is ugly. Phone looks like someone bite top of the screen like is apple on back. To me it seems a worm slowly eating apple and soon or later this company will be sold or bancrupt. Its just asking too much,",False,False,False,False,True
148,They had a retina display which is good,False,False,False,False,True
149,cant wait to buy it,True,False,False,False,False
150,The Iphone X will be a complete waste of money,True,False,False,False,False
151,Nice,True,False,False,False,False
152,Well I am an Apple lover . so many mouths and so many opinions . For me there is no one on earth who can challenge apple security system. APPLE is the best . Apple X is the best so far. waiting and dying to buy one for me.,True,False,False,False,False
153,Thanks Apple,True,False,False,False,False
154,wonderfull,True,False,False,False,False
155,"8 plus has best cam in the market, this sounds very good for iPhone X!",False,False,False,True,False
156,The best smartphone camera we’ve ever tested,False,False,False,True,False
157,Easily the ugliest phone ever made.,False,False,False,False,True
158,"Regarding the screen, i believe it is the first of its kind in which the screen reaches all 4 corners evenly (even though it has a cutout up top) That is innovation in itself.",False,False,False,False,True
159,top of the screen is totally ugly,False,False,False,False,True
160,cool!,True,False,False,False,False
161,I've actually done research on the back camera sensor size on the iPhone 10... and believe it is going to be a 1/2 inch camera sensor size... which is bigger than Samsung camera sensors and will put it ahead of Samsung cameras,False,False,False,False,False
162,These phones are so expensive....you can hardly eat when you finish purchase it.,False,False,True,False,False
163,Undoubtedly iPhone X is a revolution in Apple history.It has to be added that Apple had no alternatives but joining a group of hi ends with new norms and criteria in smartdevice history,True,False,False,False,False
164,"what i concern is not its camera, i know the camera is good overall",False,False,False,True,False
165,"With Super AMOLED display, I think the battery life could last little longer compared to LCD displays. And with powerful A11 chip, multitasking could be more smoother.",False,True,False,False,True
166,"The A11 chip is super fast, even par with latest MacBook pro performance. this phone will be fresh for next 5 years (I derived this from my iPhone 5S bought 4 years back but still working great specifically super fast with latest iOS 11)",False,True,False,False,False
167,Iphone x is awful phone,True,False,False,False,False
168,"battery capacity..uhrmm..no thanks. im not just heavy user, im HARDCORE user.",False,True,False,False,False
169,A great phone for whom who can afford it. I really don`t recommend just because of the price tag.,True,False,True,False,False
170,iPhone X is a superb piece of tech. Love the product. Bought mine from ajio website. had some cool offers on products,True,False,False,False,False
171,Screen is amazing. Face detection works almost flawlessly for me. Battery is a non issue. Works all day. Love the new gestures. No home button is perfect. Sound from the Lightning Earbuds is the best from Apple by FAR!!! Anything negative is more than likely bashing IMHO.,False,True,False,False,True
172,Its contains lots of awesome features especially Face ID... It’s just too cool.. I used to face finger print detection problem while driving car.... typing password while driving is just too risky.. which now don’t bother me anymore,False,True,False,False,False
173,"My only complaint is the price, Samsung and iPhone are amazing phones. one is good for this, the other one is good for that. stop the hate. but I do have to say that Apple is marking the price way to high.",False,False,True,False,False
174,love this phone. Swipe up Home gesture is awesome.,False,True,False,False,False
175,Very nice phone from Apple,True,False,False,False,False
176,Apple Created the best display I ever seen in mobile phones .,False,False,False,False,True
177,Best screen i ever seen in any device. It's so perfect that it doesn't even feel like a screen. It looks so natural and real.,False,False,False,False,True
178,"Battery life not great, as expected from iPhone,",False,True,False,False,False
179,it has a better Camera from another phone in this world now.,False,False,False,True,False
180,Battery is not as good,False,True,False,False,False
181,best phone I've ever used. swipe up for home button and face id works flawless even in the dark. phone is a must buy for iphone users.,True,False,False,False,False
182,"Hi Guys, Just to let you'll know that i have bought the iPhone X and its just amazing",True,False,False,False,False
183,FaceID works like a charm. I dont miss the home button much. I kind of like the notch as it divides the battery from the others notification to the left.,False,True,False,False,False
184,I have the X and I'm not impressed.,True,False,False,False,False
185,"In January, my iPhone X is going on eBay for sale. It's boring, the phone is several years behind its competitors technology. It's a phone for young people who don't know what the competition has. Yawn.",True,False,False,False,False
186,"Really fast and fluid phone, which is to be expected at this price range, but still, the notch is in some people's opinion ugly. But people can always find something wrong with any product.",True,False,True,False,True
187,Battery life with this is very good,False,True,False,False,False
188,"it does have that notch,.it's not ideal.",False,False,False,False,True
189,"Yeah,.there is no doubt the IPhone X is not the best IPhone to as regards to its capabilities ",True,False,False,False,False
190,Great phone and Face Id works well....!!,True,True,False,False,False
191,Apple x not as well as we thought. Home button is the breath of apple apple 8 is good but older design is not acceptable. Basically apple 8 should have apple x design. Then it would be surely popular at every where. iOS 11 firmware should be improve with give option for direct call in third party dialer. It's very annoying ask confirmation call. Sometimes it's not good. Hope apple will update it sure.,False,False,False,False,False
192,Camera is almost real professional!!!,False,False,False,True,False
193,Faceid is fast and the screen... omg the screen!!!!! Perfect!,False,False,False,False,True
194,Best smartphone i ever had.,True,False,False,False,False
195,nice phone,True,False,False,False,False
196,"I like apple but what preventing me from spending so much money for this phone is the ""battery"". What would you do with a nice phone that would just last for half a day. I'm a heavy user",False,True,False,False,False
197,Apple always put a iPhone with almost same features as all smartphone have but overpriced its phone ....we can also get Ai . Face recognition in other phones in about 15000 then why waste on iPhone,False,False,True,False,False
198,"Iphone X, failed design, overpriced, not so bezel-less, so sorry Apple, this time is the Era of Android phones.",False,False,False,True,True
199,"it's way too pricely for the ""old technology"" in it",False,True,True,False,False
200,"the amoled is gorgeous, the camera is great, you dont even notice the notch (and it is small) so stop complaining people, apple have made a really nice gorgeous phone.",False,False,False,True,True
201,"i bought my iPhone X on 4th of November and after using it for nearly 6 days, i came to this conclusion that this iPhone is not worth device by Apple",True,False,False,False,False
202,feeling bad to say the notch make it even worse than original iPhone.,False,False,False,False,True
203,Glad to hear in new feature of iPhone X specially in benchmark. ,False,True,False,False,False
204,I admit I was a bit worried about losing Touch ID but amazingly FaceID seems to work at least as well as TouchID,False,True,False,False,False
205,Speed is well ... wow ... just like the iPad Pro 10.5. Cameras ... amazing for such a small device,False,True,False,True,False
206,I think the problem of iphone is the battery life if they can make it like 3600 Mah or 4000 it will be great,False,True,False,False,False
207,The notch itself is stylish and looks cool. Apple tried to make something completely bezel-less,False,False,False,False,True
208,this is the first phone ever made that i must say-its perfect! Best phone of all times! Only next Iphone x can or could be better-no one else!,True,False,False,False,False
209,"my new iPhone x just arrived,, smooth ,, fast and lovely,, no lag what so ever,, can use it with one hand",True,False,False,False,False
210,"Hardware is unbelievable. Now if only they can improve iOS 11, it would truly be the greatest device ever.",False,True,False,False,False
211,"I've had it since Saturday and I have to say, this is the perfect smartphone on every single level.",True,False,False,False,False
212,"Everything seems perfect with the iPhone X except the notch at top of the screen. If Apple can remove the notch, i will score them 100%.",True,False,False,False,True
213,I just received mine today! I love it NO regrets....no wonder why T3 magazine rated this the premium of premium of phones!,True,False,False,False,False
214,Best Display. Fastest Processor. Fastest storage. Best update support. Best customer service. Best phone in the world.,True,True,False,False,True
215,The iPhone X is superior in many ways do a deep comparison,True,False,False,False,False
216,"The A11 is a six-core, remember that adding dual-core to iPhone is not like adding dual-core laptops and requires a very accurate processor design. The dual-core processor features Performance and high-performance quad-core processors to greatly increase the speed and performance of this mobile device. Conclusion This powerful processor, high performance, and the ability of this smartphone to use various applications.",False,True,False,False,False
217,It's a stunning device in so many ways.,True,False,False,False,False
218,"using Face ID, it feels like future in your hand. And shows how far these smartphones have gone.",False,True,False,False,False
219,When you hold iPhone X in your hand with that beautiful almost edge to edge screen,False,False,False,False,True
220,"Man I agree its expensive,It has the best design ",False,False,True,False,True
221,Getting those issues is around same than winning lottery. Haven't had Any issues and the performance is perfect and with 120hz touch input this thing is supersmooth.,False,True,False,False,False
222,"I lost my hope with apple every year i am waiting for something new , but the phone doesn't change same thing with old features andriod has ahead months and years before.",False,True,False,False,False
223,Iphone x is just a piece of junk,True,False,False,False,False
