Reviews;Aspect
No fingerprint screen sensor is present;fingerprint
Ugliest phone from apple i ever seen good job apple.;phone
Dont forget to add 1000 eur price.;price
Expected lot more from this phone but apple is every year the same with minimum differences. I am glad i am not an apple user any more.;
Useless phone, unless you only need a camera.;phone
The ugliest iphone design. Period.;design
For the first time apple is not winning in the looks department;looks
Hahahahahahahahaha 1000 Euros phone without Fast Charging, good luck then;Fast Charging
Only facial recognition ID? screw that.. No way am i passing out drunk at a party and people just.. Whoop.. hold up ma phone;facial recognition
facial recognition sucks. in the demo, the guy flopped doing it;facial recognition
I am still happy with iPhone 6s Plus I am disappointed with the this years launch as well I don't think there is any changes in the iOS 11 as well;
So the iPhone X looks exactly as the leaks, which is unfortunate. It shares the title of ugliest phone on the market with the iPhone 8.;
Amazing super design;design
this phone looks awesome i dont care what anybody wanna say great job apple;apple
thanks, apple. this year apple really has done a good job;apple
this year I'm gonna buy this beast. really good job;apple
lol, they call it bezel less, yet note 8 and s8 plus have better screen-to-body ratio. and those side bezels are just ugly;
In my iPhone 6 when I double tap the home button, it brings the screen down so I can reach the area in the upper part with one hand. I think this feature is missing in iPhone X. This is so bad specially it has a bigger screen now and working with one hand with it will be impossible without this feature. If they can make it done by double tap the lock button or squeeze the phone sides it will be great. Hope so.;feature
Am i the only one who actually sees the bezels? They are Huge af!!! and no fingerprint under screen? yeah sure i give AROUND 1150euro for this! 10x apple... sucked even more!;bezels, fingerprint
So much talking and nothing new... Bye Apple.;apple
This the best smartphone ever with the best and most secure iOS;smartphone
"Look at that ugly camera ; looks like traffic lights . The ugliest phone ever . Gzzz";camera
When i first saw the look i just thought it was fan made but when i actually found out it was official i was so disappointed. I'm against the bezel less phones especially when they come out looking as bad as this;
That is the ugliest phone ever made.;phone
No fingerprint in screen? Sad;fingerprint
With the most outrageous price ever. If you guys will still buy this phone at over $1,000 then you guys really have your life priorities messed up.;price
to my eyes, this iphone is looking not as good as many androids out there. the only thing that keeps this phone from android is the software experience;iphone, software experience
i love this phone;phone
Although I'm die hard android I will say I think they have done a good job with the X;X
This is the most ugly phone i have ever seen.;phone
The phone is ugly, no one said anything about ios;phone
Looks like a cheap phone from china;phone
awesome;
I like how they made something that already exists on the market and improved it something unique with their knowledge and also how they simplify the process..My only concern is that it doesn't come out in black;
Well said and honest;
"Grapes are sure! my friend; this is the best phone in the world ever.";phone
That would be great;
AWESOME! simply great. Great work.;
I'm not iPhone user or a fan.. iOS is very smooth and doesn't need much ram like android. It is well optimized. But apple could give more but they want to cut the cost everywhere and charge the most to take it the profit in large margin;ios
Realy back side camera to much ugly;camera
"one word for now, ""ugly""";
The not so essential phone. Horrible design. Nothing works in the looks department. From the proportions to the way the edges and screen blend into each other to the odd camera protrusion.;phone
no fingerprint waste of money;fingerprint
I don't usually like iPhones, but this X changed my mind. At least only for this X. Thumbs up;
No finger print scanner, they claim that the new facial recognition is the the best option to go with;finger print
no finger print scanner;finger print
hmm it's look like a super expensive android to me with a bunch of gimmicks noting new ooh there is facial recognition to it but sadly it failed at presentation and it supports wireless charging hmm also fast charging i think it should have it coz we all know.;
One of the best of best phone it will be every thing that we whant now;phone
Super sharp oled display;display
bezels less desgin;design
higher price 64GB $999;price
cameras are excellent;cameras
wirless charging;
4K at 60fps;
Honestly.... I have never ever really liked Apple do to the fact their phones always look the same. ( in my opinion ), But I have to admit, this phone is pretty nice!!!! And looks stunning;
The new animoji feature is totally sick!!!! Just being able to custom adjust your emogi with your facial expressions is absolutely amazing!;animoji feature
And last but not least: I am so happy Apple finally went wireless!;apple
Finally The Beast Revealed with well developed specs in Apple;apple
good front design and an odd looking back camera;design
I love this X phone;phone
Pretty disappointed. Nothing amazing;
More innovation please. This phone does not set no future for phones. It is the same product as before. Nothing brilliantly amazing.;
Too expensive for the specs, you can find other phones at much cheaper price with higher specs. 3gb ram seriously? flagship device at only 3gb ram..still bad battery ..subpar design. Only goodthing I can say would probably the iOs software looks and performs better.;
That's what i don't like in new iphone as well. I think it is a mistake done by apple designers;
Everything looks pretty exciting but I hate to say that top portion the screen & fat black edges around the screen looks really ugly;screen
Ugly design!;design
5,8 inch screen ?? is it a joke ? motorolla did 6 inch screen 3 years ago. the top of the screen is cut why ?;screen
still no dual sim :(;dual sim
The resolution screen is ridiculous.;screen
Without fingerprint scanner...... Worst iphone ever;
this is a great phone ever;phone
Best phone!!! No doubt. Perhaps will break all previous selling records. Well done Apple.;phone
finally, best phone for all iphones(using amoled etc)!!!... iphone x has the same feature as s8..;phone
Amazing acheivement Apple;
But its true iphone is best all the way;iphone
IOS is best all the way;ios
Best smartphone currently iphone X;smartphone
The phone looks great, design is cool but why no fingerprint sensor ?? I didn't trust Face ID Recognition because in presentation the Iphone X Face ID didn't worked and the presenter use PIN Code to unlock the phone;phone, design, fingerprint sensor, face id
I really don't like that camera module design and that camera ugly bump and I didn't know how much battery will last.;design, battery
Great innovation on face recognition but screen looks weird while playing videos. Moreover, looks like overpriced.;face recognition, looks
The ugly and annoying pop out back camera lens.;face recognition, looks
The bad display cut at the top.;display
The black strip around the display.;display
Ugly Front design;design
Ugly Camera;design
I am impressed by iPhone X. But price is too damn high. Still I am looking forward to buy one.;iphone
Brilliant device this time Apple did it again. Let´s see how it behaves on the reviews;device
