Reviews;#GENERAL;#FEATURE;#PRICE;#CAMERA;#DESIGN#SCREEN
No fingerprint screen sensor is present;;negative;;;
Ugliest phone from apple i ever seen good job apple.;;;;;negative
Dont forget to add 1000 eur price.;;;negative;;
Expected lot more from this phone but apple is every year the same with minimum differences. I am glad i am not an apple user any more.;;negative;;;
Useless phone, unless you only need a camera.;negative;;;;
The ugliest iphone design. Period.;;;;;negative
For the first time apple is not winning in the looks department;;;;;negative
Hahahahahahahahaha 1000 Euros phone without Fast Charging, good luck then;;negative;negative;;
Only facial recognition ID? screw that.. No way am i passing out drunk at a party and people just.. Whoop.. hold up ma phone;;negative;;;
facial recognition sucks. in the demo, the guy flopped doing it;;negative;;;
I am still happy with iPhone 6s Plus I am disappointed with the this years launch as well I don't think there is any changes in the iOS 11 as well;;negative;;;
So the iPhone X looks exactly as the leaks, which is unfortunate. It shares the title of ugliest phone on the market with the iPhone 8.;;;;;negative
Amazing super design;;;;;positive
this phone looks awesome i dont care what anybody wanna say great job apple;positive;;;;positive
thanks, apple. this year apple really has done a good job;positive;;;;
this year I'm gonna buy this beast. really good job;positive;;;;
lol, they call it bezel less, yet note 8 and s8 plus have better screen-to-body ratio. and those side bezels are just ugly;;;;;negative
In my iPhone 6 when I double tap the home button, it brings the screen down so I can reach the area in the upper part with one hand. I think this feature is missing in iPhone X. This is so bad specially it has a bigger screen now and working with one hand with it will be impossible without this feature. If they can make it done by double tap the lock button or squeeze the phone sides it will be great. Hope so.;;negative;;;
Am i the only one who actually sees the bezels? They are Huge af!!! and no fingerprint under screen? yeah sure i give AROUND 1150euro for this! 10x apple... sucked even more!;;negative;negative;;negative
So much talking and nothing new... Bye Apple.;;negative;;;
This the best smartphone ever with the best and most secure iOS;positive;positive;;;
"Look at that ugly camera ; looks like traffic lights . The ugliest phone ever . Gzzz";;;;negative;negative
When i first saw the look i just thought it was fan made but when i actually found out it was official i was so disappointed. I'm against the bezel less phones especially when they come out looking as bad as this;;;;;negative
That is the ugliest phone ever made.;;;;;negative
No fingerprint in screen? Sad;;negative;;;
With the most outrageous price ever. If you guys will still buy this phone at over $1,000 then you guys really have your life priorities messed up.;;;negative;;
to my eyes, this iphone is looking not as good as many androids out there. the only thing that keeps this phone from android is the software experience;;positive;;;negative
i love this phone;positive;;;;
Although I'm die hard android I will say I think they have done a good job with the X;positive;;;;
This is the most ugly phone i have ever seen.;;;;;negative
The phone is ugly, no one said anything about ios;;;;;negative
Looks like a cheap phone from china;;;;;negative
awesome;positive;;;;
I like how they made something that already exists on the market and improved it something unique with their knowledge and also how they simplify the process..My only concern is that it doesn't come out in black;positive;positive;;;
Well said and honest;positive;;;;
"Grapes are sure! my friend; this is the best phone in the world ever.";positive;;;;
That would be great;positive;;;;
AWESOME! simply great. Great work.;positive;;;;
